time_s,latency_ns,mismatch
0.000269202,1428.000,0
0.000270624,1422.000,0
0.000271992,1368.000,0
0.000273360,1368.000,0
0.000274782,1422.000,0
0.000276780,1998.000,0
0.000278244,1464.000,0
0.000279690,1446.000,0
0.000281100,1410.000,0
0.000282474,1374.000,0
0.000283878,1404.000,0
0.000285276,1398.000,0
0.000286656,1380.000,0
0.000288090,1434.000,0
0.000289482,1392.000,0
0.000290874,1392.000,0
0.000292296,1422.000,0
0.000293718,1422.000,0
0.000295086,1368.000,0
0.000296490,1404.000,0
0.000297918,1428.000,0
0.000299328,1410.000,0
0.000300768,1440.000,0
0.000302172,1404.000,0
0.000303546,1374.000,0
0.000304938,1392.000,0
0.000306330,1392.000,0
0.000307740,1410.000,0
0.000309156,1416.000,0
0.000310602,1446.000,0
0.000312018,1416.000,0
0.000313434,1416.000,0
0.000314880,1446.000,0
0.000316254,1374.000,0
0.000317646,1392.000,0
0.000319014,1368.000,0
0.000320418,1404.000,0
0.000321846,1428.000,0
0.000323226,1380.000,0
0.000324612,1386.000,0
0.000326016,1404.000,0
0.000327426,1410.000,0
0.000328854,1428.000,0
0.000330246,1392.000,0
0.000331650,1404.000,0
0.000333024,1374.000,0
0.000334434,1410.000,0
0.000335838,1404.000,0
0.000337272,1434.000,0
0.000338670,1398.000,0
0.000340068,1398.000,0
0.000341448,1380.000,0
0.000342852,1404.000,0
0.000344232,1380.000,0
0.000345642,1410.000,0
0.000347046,1404.000,0
0.000348450,1404.000,0
0.000349824,1374.000,0
0.000351246,1422.000,0
0.000352656,1410.000,0
0.000354084,1428.000,0
0.000355458,1374.000,0
0.000356874,1416.000,0
0.000358278,1404.000,0
0.000359676,1398.000,0
0.000361134,1458.000,0
0.000362526,1392.000,0
0.000363966,1440.000,0
0.000365364,1398.000,0
0.000366810,1446.000,0
0.000368208,1398.000,0
0.000369594,1386.000,0
0.000370986,1392.000,0
0.000372426,1440.000,0
0.000373824,1398.000,0
0.000375216,1392.000,0
0.000376608,1392.000,0
0.000378048,1440.000,0
0.000379488,1440.000,0
0.000380892,1404.000,0
0.000382260,1368.000,0
0.000383670,1410.000,0
0.000385092,1422.000,0
0.000386514,1422.000,0
0.000387966,1452.000,0
0.000389376,1410.000,0
0.000390774,1398.000,0
0.000392148,1374.000,0
0.000393558,1410.000,0
0.000394926,1368.000,0
0.000396330,1404.000,0
0.000397734,1404.000,0
0.000399156,1422.000,0
0.000400566,1410.000,0
0.000401964,1398.000,0
0.000403332,1368.000,0
0.000404712,1380.000,0
0.000406128,1416.000,0
0.000407514,1386.000,0
0.000409428,1914.000,0
0.000410832,1404.000,0
0.000412230,1398.000,0
0.000413658,1428.000,0
0.000415056,1398.000,0
0.000416460,1404.000,0
0.000417870,1410.000,0
0.000419238,1368.000,0
