campaign,run,time_h,avg_ns,elapsed_s,mismatches
B_idle_5h,111,1.860804681,335.288,60.351850,0
B_idle_5h,112,1.877567754,335.261,60.347064,0
B_idle_5h,113,1.894331117,335.267,60.348107,0
B_idle_5h,114,1.911094595,335.270,60.348518,0
B_idle_5h,115,1.927858283,335.274,60.349276,0
B_idle_5h,116,1.944624354,335.321,60.357855,0
B_idle_5h,117,1.961388730,335.288,60.351757,0
B_idle_5h,118,1.978151951,335.264,60.347594,0
B_idle_5h,119,1.994916812,335.297,60.353501,0
B_idle_5h,120,2.011679870,335.261,60.347007,0
B_idle_5h,121,2.028444652,335.296,60.353217,0
B_idle_5h,122,2.045208426,335.275,60.349585,0
B_idle_5h,123,2.061973678,335.305,60.354907,0
B_idle_5h,124,2.078737189,335.270,60.348641,0
B_idle_5h,125,2.095501016,335.277,60.349774,0
B_idle_5h,126,2.112265415,335.288,60.351836,0
B_idle_5h,127,2.129029336,335.278,60.350116,0
B_idle_5h,128,2.145793677,335.287,60.351630,0
B_idle_5h,129,2.162558050,335.287,60.351741,0
B_idle_5h,130,2.179321297,335.265,60.347691,0
B_idle_5h,131,2.196084532,335.265,60.347645,0
B_idle_5h,132,2.212848576,335.281,60.350561,0
B_idle_5h,133,2.229612958,335.288,60.351773,0
B_idle_5h,134,2.246378311,335.307,60.355270,0
B_idle_5h,135,2.263142555,335.285,60.351280,0
B_idle_5h,136,2.279906954,335.288,60.351836,0
B_idle_5h,137,2.296670573,335.272,60.349027,0
B_idle_5h,138,2.313434790,335.284,60.351181,0
B_idle_5h,139,2.330199855,335.301,60.354234,0
B_idle_5h,140,2.346964184,335.287,60.351586,0
B_idle_5h,141,2.363728075,335.278,60.350007,0
B_idle_5h,142,2.380492005,335.279,60.350146,0
B_idle_5h,143,2.397256189,335.284,60.351065,0
B_idle_5h,144,2.414021773,335.312,60.356101,0
B_idle_5h,145,2.430786625,335.297,60.353468,0
B_idle_5h,146,2.447551227,335.292,60.352566,0
B_idle_5h,147,2.464313808,335.252,60.345292,0
B_idle_5h,148,2.481077797,335.280,60.350362,0
B_idle_5h,149,2.497843522,335.314,60.356609,0
B_idle_5h,150,2.514607818,335.286,60.351464,0
B_idle_5h,151,2.531371997,335.284,60.351044,0
B_idle_5h,152,2.548135701,335.274,60.349336,0
B_idle_5h,153,2.564899749,335.281,60.350571,0
B_idle_5h,154,2.581663859,335.282,60.350799,0
B_idle_5h,155,2.598428235,335.288,60.351751,0
B_idle_5h,156,2.615192770,335.291,60.352326,0
B_idle_5h,157,2.631956749,335.280,60.350324,0
B_idle_5h,158,2.648719843,335.262,60.347140,0
B_idle_5h,159,2.665484198,335.287,60.351677,0
B_idle_5h,160,2.682248288,335.282,60.350723,0
B_idle_5h,161,2.699011307,335.260,60.346868,0
B_idle_5h,162,2.715775683,335.288,60.351754,0
B_idle_5h,163,2.732539831,335.283,60.350935,0
B_idle_5h,164,2.749303659,335.277,60.349781,0
B_idle_5h,165,2.766069442,335.316,60.356817,0
B_idle_5h,166,2.782833882,335.289,60.351986,0
B_idle_5h,167,2.799597840,335.279,60.350246,0
B_idle_5h,168,2.816363183,335.307,60.355236,0
B_idle_5h,169,2.833126899,335.274,60.349378,0
B_idle_5h,170,2.849889710,335.256,60.346119,0
B_idle_5h,171,2.866653662,335.279,60.350229,0
B_idle_5h,172,2.883419053,335.308,60.355405,0
B_idle_5h,173,2.900183560,335.290,60.352225,0
B_idle_5h,174,2.916947161,335.272,60.348966,0
B_idle_5h,175,2.933710363,335.264,60.347527,0
B_idle_5h,176,2.950474069,335.274,60.349340,0
B_idle_5h,177,2.967238859,335.296,60.353245,0
B_idle_5h,178,2.984003282,335.288,60.351922,0
B_idle_5h,179,3.000767218,335.279,60.350168,0
B_idle_5h,180,3.017531611,335.288,60.351816,0
B_idle_5h,181,3.034296271,335.293,60.352777,0
B_idle_5h,182,3.051061174,335.298,60.353650,0
B_idle_5h,183,3.067826154,335.300,60.353926,0
B_idle_5h,184,3.084590435,335.286,60.351414,0
B_idle_5h,185,3.101354226,335.276,60.349646,0
B_idle_5h,186,3.118118178,335.279,60.350227,0
B_idle_5h,187,3.134883007,335.297,60.353386,0
B_idle_5h,188,3.151648121,335.302,60.354411,0
B_idle_5h,189,3.168411660,335.271,60.348741,0
B_idle_5h,190,3.185176173,335.290,60.352246,0
B_idle_5h,191,3.201939831,335.273,60.349167,0
B_idle_5h,192,3.218704816,335.300,60.353947,0
B_idle_5h,193,3.235469257,335.289,60.351988,0
B_idle_5h,194,3.252232667,335.268,60.348276,0
B_idle_5h,195,3.268996793,335.283,60.350852,0
B_idle_5h,196,3.285760881,335.282,60.350718,0
B_idle_5h,197,3.302525537,335.293,60.352759,0
B_idle_5h,198,3.319287732,335.244,60.343905,0
B_idle_5h,199,3.336053014,335.306,60.355012,0
B_idle_5h,200,3.352816490,335.270,60.348516,0
B_idle_5h,201,3.369582138,335.313,60.356331,0
B_idle_5h,202,3.386346070,335.279,60.350158,0
B_idle_5h,203,3.403109356,335.266,60.347827,0
B_idle_5h,204,3.419872864,335.270,60.348628,0
B_idle_5h,205,3.436637549,335.294,60.352866,0
B_idle_5h,206,3.453402387,335.297,60.353419,0
B_idle_5h,207,3.470165675,335.266,60.347837,0
B_idle_5h,208,3.486929886,335.284,60.351159,0
B_idle_5h,209,3.503693900,335.280,60.350450,0
B_idle_5h,210,3.520459298,335.308,60.355432,0
B_idle_5h,211,3.537224036,335.295,60.353058,0
B_idle_5h,212,3.553988460,335.288,60.351924,0
B_idle_5h,213,3.570752804,335.287,60.351639,0
B_idle_5h,214,3.587517393,335.292,60.352522,0
B_idle_5h,215,3.604281144,335.275,60.349501,0
B_idle_5h,216,3.621045644,335.290,60.352202,0
B_idle_5h,217,3.637808783,335.263,60.347301,0
B_idle_5h,218,3.654572390,335.272,60.348986,0
B_idle_5h,219,3.671336436,335.281,60.350565,0
B_idle_5h,220,3.688101163,335.295,60.353016,0
B_idle_5h,221,3.704864666,335.270,60.348609,0
B_idle_5h,222,3.721629492,335.297,60.353376,0
B_idle_5h,223,3.738392146,335.253,60.345554,0
B_idle_5h,224,3.755155287,335.263,60.347308,0
B_idle_5h,225,3.771919817,335.291,60.352308,0
B_idle_5h,226,3.788684526,335.294,60.352953,0
B_idle_5h,227,3.805449505,335.300,60.353924,0
B_idle_5h,228,3.822213056,335.271,60.348783,0
B_idle_5h,229,3.838977388,335.287,60.351595,0
B_idle_5h,230,3.855741342,335.279,60.350235,0
B_idle_5h,231,3.872505569,335.285,60.351218,0
B_idle_5h,232,3.889269892,335.286,60.351563,0
B_idle_5h,233,3.906033401,335.270,60.348632,0
B_idle_5h,234,3.922797150,335.275,60.349494,0
B_idle_5h,235,3.939562292,335.303,60.354513,0
B_idle_5h,236,3.956325895,335.272,60.348969,0
B_idle_5h,237,3.973089508,335.272,60.349010,0
B_idle_5h,238,3.989853680,335.283,60.351019,0
B_idle_5h,239,4.006617939,335.285,60.351330,0
B_idle_5h,240,4.023381455,335.270,60.348659,0
B_idle_5h,241,4.040145779,335.286,60.351566,0
B_idle_5h,242,4.056908917,335.263,60.347297,0
B_idle_5h,243,4.073672374,335.269,60.348444,0
B_idle_5h,244,4.090436555,335.284,60.351052,0
B_idle_5h,245,4.107199774,335.264,60.347588,0
B_idle_5h,246,4.123964412,335.293,60.352697,0
B_idle_5h,247,4.140729350,335.299,60.353777,0
B_idle_5h,248,4.157493297,335.279,60.350209,0
B_idle_5h,249,4.174257466,335.283,60.351011,0
B_idle_5h,250,4.191021912,335.289,60.352005,0
B_idle_5h,251,4.207785642,335.275,60.349426,0
B_idle_5h,252,4.224550065,335.288,60.351924,0
B_idle_5h,253,4.241314875,335.296,60.353315,0
B_idle_5h,254,4.258078584,335.274,60.349353,0
B_idle_5h,255,4.274844336,335.315,60.356706,0
B_idle_5h,256,4.291608137,335.276,60.349686,0
B_idle_5h,257,4.308371887,335.275,60.349500,0
B_idle_5h,258,4.325136680,335.296,60.353253,0
B_idle_5h,259,4.341901263,335.292,60.352501,0
B_idle_5h,260,4.358664934,335.273,60.349216,0
B_idle_5h,261,4.375427582,335.253,60.345531,0
B_idle_5h,262,4.392191276,335.274,60.349299,0
B_idle_5h,263,4.408955203,335.279,60.350136,0
B_idle_5h,264,4.425718785,335.272,60.348896,0
B_idle_5h,265,4.442482222,335.269,60.348373,0
B_idle_5h,266,4.459246506,335.286,60.351424,0
B_idle_5h,267,4.476010187,335.274,60.349250,0
B_idle_5h,268,4.492773891,335.274,60.349337,0
B_idle_5h,269,4.509538480,335.292,60.352519,0
B_idle_5h,270,4.526302218,335.275,60.349457,0
B_idle_5h,271,4.543065794,335.272,60.348873,0
B_idle_5h,272,4.559829678,335.278,60.349981,0
B_idle_5h,273,4.576592742,335.261,60.347033,0
B_idle_5h,274,4.593354721,335.240,60.343124,0
B_idle_5h,275,4.610118069,335.267,60.348053,0
B_idle_5h,276,4.626882160,335.282,60.350728,0
B_idle_5h,277,4.643646592,335.289,60.351955,0
B_idle_5h,278,4.660410755,335.283,60.350986,0
B_idle_5h,279,4.677175565,335.296,60.353317,0
B_idle_5h,280,4.693939403,335.277,60.349818,0
B_idle_5h,281,4.710703341,335.279,60.350177,0
B_idle_5h,282,4.727465894,335.251,60.345190,0
B_idle_5h,283,4.744230147,335.285,60.351311,0
B_idle_5h,284,4.760994617,335.289,60.352091,0
B_idle_5h,285,4.777758044,335.269,60.348339,0
B_idle_5h,286,4.794522353,335.286,60.351512,0
B_idle_5h,287,4.811287210,335.297,60.353483,0
B_idle_5h,288,4.828050105,335.258,60.346423,0
B_idle_5h,289,4.844813878,335.275,60.349583,0
B_idle_5h,290,4.861577160,335.266,60.347816,0
B_idle_5h,291,4.878341304,335.283,60.350920,0
B_idle_5h,292,4.895105016,335.274,60.349361,0
